uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,8,8,slither_0_11_3_solc_version,solc-version,"Version constraint ^0.8.0 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html)
	- FullInlinerNonExpressionSplitArgumentEvaluationOrder
	- MissingSideEffectsOnSelectorAccess
	- AbiReencodingHeadOverflowWithStaticArrayCleanup
	- DirtyBytesArrayToStorage
	- DataLocationChangeInInternalOverride
	- NestedCalldataArrayAbiReencodingSizeValidation
	- SignedImmutables
	- ABIDecodeTwoDimensionalArrayMemory
	- KeccakCaching.
It is used by:
	- ^0.8.0 (../sb/Wallet_F.sol#8)
"
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,8,8,solhint_6_0_0_compiler_version,compiler-version,Compiler version ^0.8.0 does not satisfy the ^0.8.24 semver requirement
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,8,8,solhint_6_0_0_one_contract_per_file,one-contract-per-file,Found more than One contract per file. 3 contracts found!
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,8,8,smartcheck_SOLIDITY_PRAGMAS_VERSION,SOLIDITY_PRAGMAS_VERSION,"SOLIDITY_PRAGMAS_VERSION
Severity: 1"
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,10,10,solhint_6_0_0_use_natspec,use-natspec,Missing @title tag in contract 'Oracle'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,10,133,slither_0_11_3_missing_inheritance,missing-inheritance,"Oracle (../sb/Wallet_F.sol#10-133) should inherit from IOracle (../sb/Wallet_F.sol#183-190)
"
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,10,10,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in contract 'Oracle'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,10,10,solhint_6_0_0_use_natspec,use-natspec,Missing @author tag in contract 'Oracle'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,26,26,slither_0_11_3_immutable_states,immutable-states,"Oracle.authorizedWallet (../sb/Wallet_F.sol#26) should be immutable 
"
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,26,26,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'authorizedWallet'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,27,27,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'currencies'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,28,28,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'oracles'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,29,29,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'requests'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,30,30,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'exchangeRates'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,31,31,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'exchangeRateTime'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,32,367,mando_denial_of_service,denial_of_service,denial_of_service
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,32,379,mando_reentrancy,reentrancy,reentrancy
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,32,32,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'minimumQuorum'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,35,35,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in event 'RequestRate'
/home/ryan/Documents/LLM/Code/LeChat/Wallet_F.sol,35,35,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in event 'RequestRate'
